시도명,기준연도,진료과목,소비액 비율(%),소비건수 비율(%)
대구광역시,2022,한약방,0.16,0.12
대구광역시,2022,한의학과,3.72,4.24
대구광역시,2023,대학/종합병원,33.5,19.42
대구광역시,2023,성형외과,4.76,1.2
대구광역시,2023,안과,3.34,2.77
대구광역시,2023,약국,11.27,50.63
대구광역시,2023,치과,18.78,10.04
대구광역시,2023,피부과,23.16,10.7
대구광역시,2023,한약방,0.42,0.39
대구광역시,2023,한의학과,4.77,4.85
대구광역시,2024,대학/종합병원,19.81,14.25
대구광역시,2024,성형외과,9.38,2.11
대구광역시,2024,안과,1.94,2.09
대구광역시,2024,약국,8.11,46.37
대구광역시,2024,치과,13.51,8.91
대구광역시,2024,피부과,43.69,21.52
대구광역시,2024,한약방,0.07,0.16
대구광역시,2024,한의학과,3.49,4.58
대구광역시,2025,대학/종합병원,14.74,12.19
대구광역시,2025,성형외과,14.68,4.59
대구광역시,2025,안과,1.34,1.92
대구광역시,2025,약국,6.51,41.9
대구광역시,2025,치과,8.83,7.73
대구광역시,2025,피부과,51.3,27.28
대구광역시,2025,한약방,0.02,0.11
대구광역시,2025,한의학과,2.57,4.28
대구광역시,2026,대학/종합병원,23.89,16.49
대구광역시,2026,성형외과,25.96,6.2
대구광역시,2026,안과,1.73,2.17
대구광역시,2026,약국,11.15,52.35
대구광역시,2026,치과,10.64,8.55
대구광역시,2026,피부과,23.52,10.13
대구광역시,2026,한약방,0.04,0.13
대구광역시,2026,한의학과,3.07,3.99
대전광역시,2020,대학/종합병원,22.4,18.4
대전광역시,2020,성형외과,3.75,0.48
대전광역시,2020,안과,2.65,1.45
대전광역시,2020,약국,34.2,63.06
대전광역시,2020,치과,19.01,6.42
대전광역시,2020,피부과,12.36,4.3
대전광역시,2020,한약방,0.19,0.34
대전광역시,2020,한의학과,5.44,5.55
대전광역시,2021,대학/종합병원,33.45,26.85
대전광역시,2021,성형외과,3.69,0.46
대전광역시,2021,안과,4.8,2.08
대전광역시,2021,약국,13.6,48.77
대전광역시,2021,치과,17.56,7.57
대전광역시,2021,피부과,13.8,6.54
대전광역시,2021,한약방,0.78,0.25
대전광역시,2021,한의학과,12.32,7.48
대전광역시,2022,대학/종합병원,24.54,16.34
대전광역시,2022,성형외과,6.71,0.88
대전광역시,2022,안과,4.94,2.32
대전광역시,2022,약국,13.84,57.83
대전광역시,2022,치과,24.39,8.91
대전광역시,2022,피부과,18.04,7.73
대전광역시,2022,한약방,0.04,0.16
대전광역시,2022,한의학과,7.5,5.83
대전광역시,2023,대학/종합병원,22.98,14.49
대전광역시,2023,성형외과,4.89,0.75
대전광역시,2023,안과,4.23,2.07
대전광역시,2023,약국,13.44,59.49
대전광역시,2023,치과,20.33,8.16
대전광역시,2023,피부과,29.07,9.67
대전광역시,2023,한약방,0.01,0.01
대전광역시,2023,한의학과,5.06,5.34
대전광역시,2024,대학/종합병원,18.96,10.98
대전광역시,2024,성형외과,6.65,0.79
대전광역시,2024,안과,3.41,1.99
대전광역시,2024,약국,13.55,62.87
대전광역시,2024,치과,24.45,8.61
대전광역시,2024,피부과,28.22,9.78
대전광역시,2024,한약방,0.01,0.02
대전광역시,2024,한의학과,4.75,4.96
대전광역시,2025,대학/종합병원,24.58,11.75
대전광역시,2025,성형외과,5.89,0.76
대전광역시,2025,안과,3.07,2.16
대전광역시,2025,약국,14.46,62.77
대전광역시,2025,치과,18.38,8.45
대전광역시,2025,피부과,28.32,8.91
대전광역시,2025,한약방,0.08,0.05
대전광역시,2025,한의학과,5.21,5.14
대전광역시,2026,대학/종합병원,19.28,9.3
대전광역시,2026,성형외과,6.29,0.74
대전광역시,2026,안과,2.49,2.07
대전광역시,2026,약국,16.2,64.8
대전광역시,2026,치과,19.52,8.59
대전광역시,2026,피부과,31.29,8.75
대전광역시,2026,한약방,0.01,0.03
대전광역시,2026,한의학과,4.91,5.72
부산광역시,2020,대학/종합병원,60.64,29.57
부산광역시,2020,성형외과,7.79,2.29
부산광역시,2020,안과,1.96,1.8
부산광역시,2020,약국,12.01,51.69
부산광역시,2020,치과,8.67,6.29
부산광역시,2020,피부과,5.94,4.36
부산광역시,2020,한약방,0.09,0.04
부산광역시,2020,한의학과,2.91,3.95
부산광역시,2021,대학/종합병원,56.11,36.27
부산광역시,2021,성형외과,5.59,1.45
부산광역시,2021,안과,2.42,2.2
부산광역시,2021,약국,7.59,41.31
부산광역시,2021,치과,12.61,8.09
부산광역시,2021,피부과,10.67,5.66
부산광역시,2021,한약방,0.05,0.03
부산광역시,2021,한의학과,4.96,4.99
부산광역시,2022,대학/종합병원,40.61,20.53
부산광역시,2022,성형외과,9.92,2.08
부산광역시,2022,안과,3.29,2.48
부산광역시,2022,약국,10.04,55.52
부산광역시,2022,치과,16.22,7.86
부산광역시,2022,피부과,14.71,6.86
부산광역시,2022,한약방,0.02,0.01
부산광역시,2022,한의학과,5.19,4.67
부산광역시,2023,대학/종합병원,28.14,11.9
부산광역시,2023,성형외과,16.34,3.41
부산광역시,2023,안과,1.96,1.66
부산광역시,2023,약국,10.7,64.6
부산광역시,2023,치과,12.95,5.99
부산광역시,2023,피부과,25.12,8.33
부산광역시,2023,한약방,0.02,0.01
부산광역시,2023,한의학과,4.78,4.1
부산광역시,2024,대학/종합병원,13.93,7.92
부산광역시,2024,성형외과,13.06,3.51
부산광역시,2024,안과,1.34,1.21
부산광역시,2024,약국,7.93,63.56
부산광역시,2024,치과,6.28,4.5
부산광역시,2024,피부과,54.94,16.38
부산광역시,2024,한약방,0.01,0.02
부산광역시,2024,한의학과,2.51,2.91
부산광역시,2025,대학/종합병원,7.62,4.37
부산광역시,2025,성형외과,6.88,1.79
부산광역시,2025,안과,0.8,0.72
부산광역시,2025,약국,15.25,73.11
부산광역시,2025,치과,3.4,2.52
부산광역시,2025,피부과,64.63,15.84
부산광역시,2025,한약방,0.0,0.01
부산광역시,2025,한의학과,1.41,1.64
부산광역시,2026,대학/종합병원,5.16,2.31
부산광역시,2026,성형외과,4.73,0.99
부산광역시,2026,안과,0.41,0.43
부산광역시,2026,약국,36.17,85.31
부산광역시,2026,치과,2.67,1.48
부산광역시,2026,피부과,49.8,8.64
부산광역시,2026,한약방,0.0,0.0
부산광역시,2026,한의학과,1.05,0.84
서울특별시,2020,대학/종합병원,15.19,11.98
서울특별시,2020,성형외과,32.57,6.05
서울특별시,2020,안과,2.08,1.52
서울특별시,2020,약국,15.47,58.9
서울특별시,2020,치과,12.01,7.0
서울특별시,2020,피부과,18.45,9.89
서울특별시,2020,한약방,0.07,0.22
서울특별시,2020,한의학과,4.16,4.44
서울특별시,2021,대학/종합병원,23.2,20.91
서울특별시,2021,성형외과,23.51,5.04
서울특별시,2021,안과,3.77,2.29
서울특별시,2021,약국,7.11,46.84
서울특별시,2021,치과,17.41,9.82
서울특별시,2021,피부과,20.59,10.19
서울특별시,2021,한약방,0.02,0.08
서울특별시,2021,한의학과,4.39,4.84
서울특별시,2022,대학/종합병원,11.97,11.4
서울특별시,2022,성형외과,44.97,8.84
서울특별시,2022,안과,3.25,2.19
서울특별시,2022,약국,5.53,55.25
서울특별시,2022,치과,9.9,6.95
서울특별시,2022,피부과,21.27,11.34
서울특별시,2022,한약방,0.03,0.18
서울특별시,2022,한의학과,3.08,3.84
서울특별시,2023,대학/종합병원,6.6,5.83
서울특별시,2023,성형외과,40.73,12.14
서울특별시,2023,안과,2.26,1.54
서울특별시,2023,약국,4.43,49.7
서울특별시,2023,치과,5.16,4.08
서울특별시,2023,피부과,38.63,23.93
서울특별시,2023,한약방,0.02,0.19
서울특별시,2023,한의학과,2.17,2.59
서울특별시,2024,대학/종합병원,3.82,3.69
서울특별시,2024,성형외과,30.17,9.41
서울특별시,2024,안과,2.19,1.35
서울특별시,2024,약국,4.68,52.13
서울특별시,2024,치과,3.89,3.28
서울특별시,2024,피부과,53.57,27.9
서울특별시,2024,한약방,0.02,0.14
서울특별시,2024,한의학과,1.67,2.1
서울특별시,2025,대학/종합병원,2.54,2.62
서울특별시,2025,성형외과,24.77,6.77
서울특별시,2025,안과,2.01,1.15
서울특별시,2025,약국,7.58,61.07
서울특별시,2025,치과,3.45,2.76
서울특별시,2025,피부과,58.48,23.93
서울특별시,2025,한약방,0.01,0.11
서울특별시,2025,한의학과,1.16,1.6
서울특별시,2026,대학/종합병원,2.35,2.16
서울특별시,2026,성형외과,19.8,4.45
서울특별시,2026,안과,1.65,0.94
서울특별시,2026,약국,11.95,69.75
서울특별시,2026,치과,3.31,2.54
서울특별시,2026,피부과,59.97,18.74
서울특별시,2026,한약방,0.01,0.09
서울특별시,2026,한의학과,0.97,1.33
세종특별자치시,2020,대학/종합병원,25.19,9.07
세종특별자치시,2020,성형외과,1.41,0.7
세종특별자치시,2020,안과,1.64,1.61
세종특별자치시,2020,약국,29.89,61.63
세종특별자치시,2020,치과,27.16,10.68
세종특별자치시,2020,피부과,9.75,5.43
세종특별자치시,2020,한의학과,4.95,10.88
세종특별자치시,2021,대학/종합병원,38.93,31.94
세종특별자치시,2021,성형외과,1.81,0.54
세종특별자치시,2021,안과,1.38,1.88
세종특별자치시,2021,약국,9.03,43.1
세종특별자치시,2021,치과,34.15,10.72
세종특별자치시,2021,피부과,8.14,5.85
세종특별자치시,2021,한약방,0.15,0.06
세종특별자치시,2021,한의학과,6.42,5.91
세종특별자치시,2022,대학/종합병원,16.42,14.85
세종특별자치시,2022,성형외과,19.64,1.3
세종특별자치시,2022,안과,2.09,2.92
세종특별자치시,2022,약국,12.6,55.17
세종특별자치시,2022,치과,28.22,13.82
세종특별자치시,2022,피부과,18.17,7.69
세종특별자치시,2022,한의학과,2.85,4.24
세종특별자치시,2023,대학/종합병원,25.25,13.34
세종특별자치시,2023,성형외과,14.04,1.43
세종특별자치시,2023,안과,1.68,2.22
세종특별자치시,2023,약국,10.84,55.97
세종특별자치시,2023,치과,26.76,13.53
세종특별자치시,2023,피부과,14.11,7.8
세종특별자치시,2023,한약방,0.31,0.05
세종특별자치시,2023,한의학과,7.01,5.66
세종특별자치시,2024,대학/종합병원,17.24,7.21
세종특별자치시,2024,성형외과,17.54,1.73
세종특별자치시,2024,안과,2.72,3.07
세종특별자치시,2024,약국,13.87,63.54
세종특별자치시,2024,치과,22.97,12.67
세종특별자치시,2024,피부과,20.41,7.42
세종특별자치시,2024,한의학과,5.25,4.37
세종특별자치시,2025,대학/종합병원,19.96,7.63
세종특별자치시,2025,성형외과,14.89,1.2
세종특별자치시,2025,안과,2.01,2.66
세종특별자치시,2025,약국,14.86,62.12
세종특별자치시,2025,치과,21.61,12.83
세종특별자치시,2025,피부과,21.95,8.44
세종특별자치시,2025,한약방,0.08,0.03
세종특별자치시,2025,한의학과,4.65,5.09
세종특별자치시,2026,대학/종합병원,10.2,5.84
세종특별자치시,2026,성형외과,18.27,1.08
세종특별자치시,2026,안과,1.89,3.38
세종특별자치시,2026,약국,18.03,66.14
세종특별자치시,2026,치과,17.06,11.47
세종특별자치시,2026,피부과,30.49,7.53
세종특별자치시,2026,한의학과,4.05,4.56
울산광역시,2020,대학/종합병원,43.14,28.26
울산광역시,2020,성형외과,10.36,1.83
울산광역시,2020,안과,0.66,1.48
울산광역시,2020,약국,24.88,57.16
울산광역시,2020,치과,6.48,2.98
울산광역시,2020,피부과,10.97,5.42
울산광역시,2020,한의학과,3.51,2.89
울산광역시,2021,대학/종합병원,67.26,49.29
울산광역시,2021,성형외과,8.1,2.86
울산광역시,2021,안과,0.58,1.93
울산광역시,2021,약국,11.17,35.24
울산광역시,2021,치과,4.27,3.19
울산광역시,2021,피부과,6.28,4.29
울산광역시,2021,한의학과,2.35,3.2
울산광역시,2022,대학/종합병원,53.34,35.3
울산광역시,2022,성형외과,7.25,1.67
울산광역시,2022,안과,2.47,1.64
울산광역시,2022,약국,13.14,49.36
울산광역시,2022,치과,11.85,3.71
울산광역시,2022,피부과,9.79,5.87
울산광역시,2022,한약방,0.03,0.04
울산광역시,2022,한의학과,2.13,2.39
울산광역시,2023,대학/종합병원,40.86,21.12
울산광역시,2023,성형외과,12.04,1.98
울산광역시,2023,안과,3.45,2.09
울산광역시,2023,약국,13.48,60.89
울산광역시,2023,치과,12.09,4.06
울산광역시,2023,피부과,14.89,7.11
울산광역시,2023,한의학과,3.19,2.74
울산광역시,2024,대학/종합병원,38.81,16.4
울산광역시,2024,성형외과,12.46,1.88
울산광역시,2024,안과,1.49,1.98
울산광역시,2024,약국,14.84,62.22
울산광역시,2024,치과,12.32,5.24
울산광역시,2024,피부과,17.04,7.44
울산광역시,2024,한약방,0.0,0.01
울산광역시,2024,한의학과,3.03,4.81
울산광역시,2025,대학/종합병원,36.35,15.92
울산광역시,2025,성형외과,10.64,2.04
울산광역시,2025,안과,3.13,3.07
울산광역시,2025,약국,15.31,62.84
울산광역시,2025,치과,9.11,4.84
울산광역시,2025,피부과,22.29,8.01
울산광역시,2025,한약방,0.03,0.02
울산광역시,2025,한의학과,3.16,3.25
울산광역시,2026,대학/종합병원,37.73,14.68
울산광역시,2026,성형외과,7.23,0.91
울산광역시,2026,안과,1.1,2.15
울산광역시,2026,약국,17.57,65.38
울산광역시,2026,치과,13.92,6.25
울산광역시,2026,피부과,19.13,7.36
울산광역시,2026,한의학과,3.32,3.28
인천광역시,2020,대학/종합병원,46.27,15.74
인천광역시,2020,성형외과,2.56,0.41
인천광역시,2020,안과,2.07,1.32
인천광역시,2020,약국,31.46,70.22
인천광역시,2020,치과,11.14,5.71
인천광역시,2020,피부과,4.72,2.94
인천광역시,2020,한약방,0.06,0.01
인천광역시,2020,한의학과,1.72,3.65
인천광역시,2021,대학/종합병원,59.87,27.77
인천광역시,2021,성형외과,1.92,0.44
인천광역시,2021,안과,1.78,1.64
인천광역시,2021,약국,10.73,53.75
인천광역시,2021,치과,14.77,8.92
인천광역시,2021,피부과,7.91,4.4
인천광역시,2021,한약방,0.05,0.01
인천광역시,2021,한의학과,2.98,3.07
인천광역시,2022,대학/종합병원,51.36,15.55
인천광역시,2022,성형외과,4.85,0.77
인천광역시,2022,안과,3.28,1.77
인천광역시,2022,약국,14.48,68.51
인천광역시,2022,치과,14.73,6.1
인천광역시,2022,피부과,8.41,4.22
인천광역시,2022,한약방,0.02,0.01
인천광역시,2022,한의학과,2.87,3.06
인천광역시,2023,대학/종합병원,47.55,11.08
인천광역시,2023,성형외과,5.59,0.71
인천광역시,2023,안과,2.94,1.52
인천광역시,2023,약국,16.77,73.87
인천광역시,2023,치과,12.55,5.36
인천광역시,2023,피부과,12.56,4.75
인천광역시,2023,한약방,0.01,0.01
인천광역시,2023,한의학과,2.02,2.71
인천광역시,2024,대학/종합병원,42.58,8.27
인천광역시,2024,성형외과,7.01,0.72
인천광역시,2024,안과,2.77,1.52
인천광역시,2024,약국,17.17,77.02
인천광역시,2024,치과,12.22,5.13
인천광역시,2024,피부과,15.04,4.72
인천광역시,2024,한약방,0.01,0.01
인천광역시,2024,한의학과,3.22,2.62
인천광역시,2025,대학/종합병원,31.04,5.69
인천광역시,2025,성형외과,7.15,0.54
인천광역시,2025,안과,2.32,1.07
인천광역시,2025,약국,26.02,83.37
